State	County	Year	Est. Population
Virginia	Balance of Wise County	2014	26414
Virginia	Balance of Wise County	2015	25939
Virginia	Wythe County	2010	29232
Virginia	Wythe County	2011	29226
Virginia	Wythe County	2012	29185
Virginia	Wythe County	2013	29297
Virginia	Wythe County	2014	29290
Virginia	Wythe County	2015	29060
Virginia	Balance of Wythe County	2010	19542
Virginia	Balance of Wythe County	2011	19542
Virginia	Balance of Wythe County	2012	19512
Virginia	Balance of Wythe County	2013	19594
Virginia	Balance of Wythe County	2014	19605
Virginia	Balance of Wythe County	2015	19462
Virginia	York County	2010	65191
Virginia	York County	2011	65209
Virginia	York County	2012	65884
Virginia	York County	2013	65890
Virginia	York County	2014	66126
Virginia	York County	2015	66616
Washington	Adams County	2010	18728
Washington	Adams County	2011	18810
Washington	Adams County	2012	18883
Washington	Adams County	2013	18962
Washington	Adams County	2014	19114
Washington	Adams County	2015	19194
Washington	Balance of Adams County	2010	8818
Washington	Balance of Adams County	2011	8856
Washington	Balance of Adams County	2012	8865
Washington	Balance of Adams County	2013	8887
Washington	Balance of Adams County	2014	8931
Washington	Balance of Adams County	2015	8937
Washington	Asotin County	2010	21623
Washington	Asotin County	2011	21710
Washington	Asotin County	2012	21920
Washington	Asotin County	2013	21878
Washington	Asotin County	2014	22110
Washington	Asotin County	2015	22188
Washington	Balance of Asotin County	2010	13143
Washington	Balance of Asotin County	2011	13201
Washington	Balance of Asotin County	2012	13344
Washington	Balance of Asotin County	2013	13327
Washington	Balance of Asotin County	2014	13478
Washington	Balance of Asotin County	2015	13539
Washington	Benton County	2010	175177
Washington	Benton County	2011	176516
Washington	Benton County	2012	180580
Washington	Benton County	2013	182532
Washington	Benton County	2014	184584
Washington	Benton County	2015	186647
Washington	Balance of Benton County	2010	32620
Washington	Balance of Benton County	2011	32857
Washington	Balance of Benton County	2012	33339
Washington	Balance of Benton County	2013	33416
Washington	Balance of Benton County	2014	33513
Washington	Balance of Benton County	2015	33727
Washington	Chelan County	2010	72456
Washington	Chelan County	2011	72743
Washington	Chelan County	2012	73327
Washington	Chelan County	2013	73705
Washington	Chelan County	2014	74061
Washington	Chelan County	2015	74598
Washington	Balance of Chelan County	2010	30253
Washington	Balance of Chelan County	2011	30377
Washington	Balance of Chelan County	2012	30675
Washington	Balance of Chelan County	2013	30874
Washington	Balance of Chelan County	2014	31072
Washington	Balance of Chelan County	2015	31062
Washington	Clallam County	2010	71404
Washington	Clallam County	2011	71533
Washington	Clallam County	2012	71778
Washington	Clallam County	2013	71829
Washington	Clallam County	2014	72222
Washington	Clallam County	2015	72668
Washington	Balance of Clallam County	2010	42208
Washington	Balance of Clallam County	2011	42291
Washington	Balance of Clallam County	2012	42444
Washington	Balance of Clallam County	2013	42441
Washington	Balance of Clallam County	2014	42727
Washington	Balance of Clallam County	2015	42977
Washington	Clark County	2010	425363
Washington	Clark County	2011	426804
Washington	Clark County	2012	432524
Washington	Clark County	2013	437226
Washington	Clark County	2014	442843
Washington	Clark County	2015	450441
Washington	Balance of Clark County	2010	202230
Washington	Balance of Clark County	2011	202939
Washington	Balance of Clark County	2012	205883
Washington	Balance of Clark County	2013	208321
Washington	Balance of Clark County	2014	210924
Washington	Balance of Clark County	2015	214583
Washington	Columbia County	2010	4078
Washington	Columbia County	2011	4106
Washington	Columbia County	2012	4016
Washington	Columbia County	2013	3994
Washington	Columbia County	2014	4018
Washington	Columbia County	2015	3974
Washington	Balance of Columbia County	2010	1423
Washington	Balance of Columbia County	2011	1434
Washington	Balance of Columbia County	2012	1403
Washington	Balance of Columbia County	2013	1394
Washington	Balance of Columbia County	2014	1403
Washington	Balance of Columbia County	2015	1394
Washington	Cowlitz County	2010	102410
Washington	Cowlitz County	2011	102417
Washington	Cowlitz County	2012	102375
Washington	Cowlitz County	2013	101840
Washington	Cowlitz County	2014	101792
Washington	Cowlitz County	2015	102214
Washington	Balance of Cowlitz County	2010	43718
Washington	Balance of Cowlitz County	2011	43741
Washington	Balance of Cowlitz County	2012	43775
Washington	Balance of Cowlitz County	2013	43607
Washington	Balance of Cowlitz County	2014	43627
Washington	Balance of Cowlitz County	2015	43788
Washington	Douglas County	2010	38431
Washington	Douglas County	2011	38551
Washington	Douglas County	2012	38813
Washington	Douglas County	2013	39344
Washington	Douglas County	2014	39480
Washington	Douglas County	2015	39822
Washington	Balance of Douglas County	2010	20399
Washington	Balance of Douglas County	2011	20467
Washington	Balance of Douglas County	2012	20674
Washington	Balance of Douglas County	2013	21010
Washington	Balance of Douglas County	2014	21142
Washington	Balance of Douglas County	2015	21404
Washington	Ferry County	2010	7551
Washington	Ferry County	2011	7549
Washington	Ferry County	2012	7682
Washington	Ferry County	2013	7703
Washington	Ferry County	2014	7640
Washington	Ferry County	2015	7651
Washington	Balance of Ferry County	2010	6478
Washington	Balance of Ferry County	2011	6478
Washington	Balance of Ferry County	2012	6592
Washington	Balance of Ferry County	2013	6608
Washington	Balance of Ferry County	2014	6558
Washington	Balance of Ferry County	2015	6571
Washington	Franklin County	2010	78163
Washington	Franklin County	2011	79132
Washington	Franklin County	2012	83178
Washington	Franklin County	2013	85833
Washington	Franklin County	2014	86574
Washington	Franklin County	2015	87822
Washington	Balance of Franklin County	2010	12195
Washington	Balance of Franklin County	2011	12326
Washington	Balance of Franklin County	2012	12700
Washington	Balance of Franklin County	2013	12986
Washington	Balance of Franklin County	2014	12995
Washington	Balance of Franklin County	2015	13090
Washington	Garfield County	2010	2266
Washington	Garfield County	2011	2265
