City	State	Year	Est. Population
Cherokee town	Alabama	2010	1048
Cherokee town	Alabama	2011	1049
Cherokee town	Alabama	2012	1043
Cherokee town	Alabama	2013	1038
Cherokee town	Alabama	2014	1031
Cherokee town	Alabama	2015	1023
Clayhatchee town	Alabama	2010	589
Clayhatchee town	Alabama	2011	590
Clayhatchee town	Alabama	2012	584
Clayhatchee town	Alabama	2013	586
Clayhatchee town	Alabama	2014	580
Clayhatchee town	Alabama	2015	576
Clayton town	Alabama	2010	3005
Clayton town	Alabama	2011	2999
Clayton town	Alabama	2012	2974
Clayton town	Alabama	2013	2959
Clayton town	Alabama	2014	2947
Clayton town	Alabama	2015	2944
Cleveland town	Alabama	2010	1303
Cleveland town	Alabama	2011	1304
Cleveland town	Alabama	2012	1313
Cleveland town	Alabama	2013	1315
Cleveland town	Alabama	2014	1315
Cleveland town	Alabama	2015	1314
Coaling town	Alabama	2010	1660
Coaling town	Alabama	2011	1660
Coaling town	Alabama	2012	1667
Coaling town	Alabama	2013	1671
Coaling town	Alabama	2014	1670
Coaling town	Alabama	2015	1662
Coffee Springs town	Alabama	2010	228
Coffee Springs town	Alabama	2011	228
Coffee Springs town	Alabama	2012	229
Coffee Springs town	Alabama	2013	230
Coffee Springs town	Alabama	2014	228
Coffee Springs town	Alabama	2015	228
Coffeeville town	Alabama	2010	352
Coffeeville town	Alabama	2011	351
Coffeeville town	Alabama	2012	349
Coffeeville town	Alabama	2013	343
Coffeeville town	Alabama	2014	344
Coffeeville town	Alabama	2015	340
Coker town	Alabama	2010	976
Coker town	Alabama	2011	976
Coker town	Alabama	2012	981
Coker town	Alabama	2013	984
Coker town	Alabama	2014	986
Coker town	Alabama	2015	984
Collinsville town	Alabama	2010	1983
Collinsville town	Alabama	2011	1984
Collinsville town	Alabama	2012	1989
Collinsville town	Alabama	2013	1976
Collinsville town	Alabama	2014	1973
Collinsville town	Alabama	2015	1975
Colony town	Alabama	2010	268
Colony town	Alabama	2011	268
Colony town	Alabama	2012	268
Colony town	Alabama	2013	268
Colony town	Alabama	2014	269
Colony town	Alabama	2015	270
Columbia town	Alabama	2010	740
Columbia town	Alabama	2011	741
Columbia town	Alabama	2012	743
Columbia town	Alabama	2013	747
Columbia town	Alabama	2014	742
Columbia town	Alabama	2015	741
Coosada town	Alabama	2010	1224
Coosada town	Alabama	2011	1228
Coosada town	Alabama	2012	1229
Coosada town	Alabama	2013	1228
Coosada town	Alabama	2014	1234
Coosada town	Alabama	2015	1231
Cottonwood town	Alabama	2010	1289
Cottonwood town	Alabama	2011	1291
Cottonwood town	Alabama	2012	1290
Cottonwood town	Alabama	2013	1293
Cottonwood town	Alabama	2014	1280
Cottonwood town	Alabama	2015	1274
County Line town	Alabama	2010	258
County Line town	Alabama	2011	258
County Line town	Alabama	2012	260
County Line town	Alabama	2013	260
County Line town	Alabama	2014	261
County Line town	Alabama	2015	261
Courtland town	Alabama	2010	617
Courtland town	Alabama	2011	616
Courtland town	Alabama	2012	612
Courtland town	Alabama	2013	608
Courtland town	Alabama	2014	605
Courtland town	Alabama	2015	603
Cowarts town	Alabama	2010	1894
Cowarts town	Alabama	2011	1896
Cowarts town	Alabama	2012	1899
Cowarts town	Alabama	2013	1928
Cowarts town	Alabama	2014	1937
Cowarts town	Alabama	2015	1951
Crossville town	Alabama	2010	1862
Crossville town	Alabama	2011	1863
Crossville town	Alabama	2012	1865
Crossville town	Alabama	2013	1850
Crossville town	Alabama	2014	1845
Crossville town	Alabama	2015	1845
Cuba town	Alabama	2010	346
Cuba town	Alabama	2011	345
Cuba town	Alabama	2012	337
Cuba town	Alabama	2013	333
Cuba town	Alabama	2014	331
Cuba town	Alabama	2015	326
Cusseta town	Alabama	2010	123
Cusseta town	Alabama	2011	123
Cusseta town	Alabama	2012	123
Cusseta town	Alabama	2013	123
Cusseta town	Alabama	2014	124
Cusseta town	Alabama	2015	123
Dauphin Island town	Alabama	2010	1238
Dauphin Island town	Alabama	2011	1235
Dauphin Island town	Alabama	2012	1235
Dauphin Island town	Alabama	2013	1235
Dauphin Island town	Alabama	2014	1236
Dauphin Island town	Alabama	2015	1241
Daviston town	Alabama	2010	214
Daviston town	Alabama	2011	213
Daviston town	Alabama	2012	213
Daviston town	Alabama	2013	212
Daviston town	Alabama	2014	212
Daviston town	Alabama	2015	212
Dayton town	Alabama	2010	52
Dayton town	Alabama	2011	52
Dayton town	Alabama	2012	51
Dayton town	Alabama	2013	51
Dayton town	Alabama	2014	50
Dayton town	Alabama	2015	50
Deatsville town	Alabama	2010	1154
Deatsville town	Alabama	2011	1156
